Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","e0b/e0b-txt/Parks_1958_Paul Hamilton Hayne on Novels and Novelists.txt","2","3","2","1793446","22551","[(1368797, 1368820), (1750591, 1750613)]","[(4307, 4330), (9068, 9090)]"
"middlemarch.txt","e0b/e0b-txt/Hannay et al_1949_Symposium.txt","2","3","4","1793446","64277","[(128425, 128447), (526350, 526367), (615387, 615411), (796793, 796812)]","[(3460, 3482), (5117, 5134), (13820, 13843), (62952, 62972)]"
"middlemarch.txt","e0b/e0b-txt/MAYNES-AMINZADE_2014_THE OMNICOMPETENT NARRATOR FROM GEORGE ELIOT TO JONATHAN FRANZEN.txt","2","3","8","1793446","61073","[(300464, 300495), (302006, 302114), (307180, 307545), (906211, 906321), (961585, 961661), (1295087, 1295204), (1295210, 1295368), (1307627, 1307650)]","[(11821, 11852), (12141, 12249), (22129, 22495), (23493, 23605), (23969, 24045), (24176, 24291), (24295, 24451), (28465, 28488)]"
"middlemarch.txt","e0b/e0b-txt/FULMER_1974_CONTRASTING PAIRS OF HEROINES IN GEORGE ELIOT'S FICTION.txt","2","3","3","1793446","20856","[(18507, 18566), (231814, 232000), (232001, 232238)]","[(6156, 6215), (18725, 18912), (19054, 19292)]"
"middlemarch.txt","e0b/e0b-txt/Mason_1971_Middlemarch and Science.txt","2","3","19","1793446","50928","[(95778, 95801), (195344, 195574), (195599, 195672), (251702, 251722), (307913, 307968), (307992, 308046), (308074, 308127), (343096, 343139), (343254, 343303), (345278, 345333), (345356, 345411), (345437, 345488), (370763, 370810), (370836, 370885), (449972, 450025), (450053, 450107), (450134, 450169), (777080, 777131), (777156, 777192)]","[(3612, 3635), (14883, 15113), (15141, 15215), (16254, 16274), (30156, 30211), (30212, 30266), (30271, 30324), (33914, 33957), (33968, 34017), (34431, 34486), (34487, 34542), (34544, 34595), (44249, 44296), (44300, 44349), (48766, 48819), (48820, 48874), (48875, 48910), (48912, 48963), (48964, 49000)]"
"middlemarch.txt","e0b/e0b-txt/FULMER_BARFIELD_2011_Edith J.txt","2","3","1","1793446","13039","[(1171121, 1171142)]","[(8715, 8736)]"
"middlemarch.txt","e0b/e0b-txt/Altick_1978_Anachronisms in Middlemarch.txt","2","3","10","1793446","18586","[(572715, 573082), (573755, 573809), (575583, 575623), (575624, 575752), (575755, 575838), (888666, 888696), (888697, 888911), (1472989, 1473029), (1473040, 1473152), (1473801, 1473910)]","[(3958, 4325), (4464, 4518), (4604, 4644), (4649, 4776), (5531, 5614), (8226, 8256), (8270, 8485), (9195, 9235), (9245, 9357), (11370, 11479)]"
"middlemarch.txt","e0b/e0b-txt/Levine_1962_Determinism and Responsibility in the Works of George Eliot.txt","2","3","8","1793446","67001","[(423059, 423080), (672588, 672607), (1792366, 1792402), (1792403, 1792452), (1792745, 1792793), (1792794, 1792838), (1792841, 1792887), (1793213, 1793276)]","[(3799, 3821), (13024, 13043), (20834, 20870), (20915, 20964), (26245, 26293), (26341, 26385), (26438, 26484), (26605, 26669)]"
"middlemarch.txt","e0b/e0b-txt/COLEMAN_2008_DANIEL DERONDA AND THE LIMITS OF SERMONIC VOICE.txt","2","3","3","1793446","63216","[(214611, 214628), (1154967, 1154988), (1792239, 1792338)]","[(24638, 24655), (35087, 35108), (52230, 52329)]"
"middlemarch.txt","e0b/e0b-txt/Greiner_2009_Sympathy Time.txt","2","3","8","1793446","77589","[(68002, 68021), (176651, 176685), (242538, 242561), (242615, 242695), (320538, 320577), (411905, 411944), (411954, 412107), (1666008, 1666026)]","[(11697, 11716), (34739, 34773), (43762, 43785), (43987, 44068), (45514, 45553), (49770, 49809), (49820, 49973), (64228, 64246)]"
"middlemarch.txt","e0b/e0b-txt/COLES_1985_The Virtues of Middlemarch.txt","2","3","9","1793446","20916","[(128425, 128447), (303328, 303483), (304549, 304579), (306312, 306359), (1512763, 1512854), (1575529, 1575570), (1575581, 1575682), (1576339, 1576436), (1784315, 1784526)]","[(3413, 3436), (4216, 4374), (4390, 4421), (4493, 4540), (5358, 5448), (6800, 6840), (6853, 6954), (6984, 7082), (7565, 7777)]"
"middlemarch.txt","e0b/e0b-txt/Phelan_2011_Toward a Rhetorical Perspective on Social Minds.txt","2","3","2","1793446","16041","[(9444, 9554), (442020, 442038)]","[(10750, 10860), (13422, 13440)]"
"middlemarch.txt","e0b/e0b-txt/Wilson_1970_Eggleston's Indebtedness to George Eliot in Roxy.txt","2","3","7","1793446","30821","[(5854, 5943), (5979, 6028), (57858, 57964), (156835, 156888), (432671, 432712), (498267, 498287), (988956, 988974)]","[(4506, 4595), (4604, 4654), (5010, 5117), (5253, 5306), (6959, 7000), (20439, 20459), (23517, 23535)]"
"middlemarch.txt","e0b/e0b-txt/Parlett_1933_The Influence of Contemporary Criticism on George Eliot.txt","2","3","6","1793446","80806","[(194155, 194174), (303453, 303473), (476341, 476364), (545199, 545221), (1426132, 1426158), (1474910, 1474927)]","[(10145, 10164), (19398, 19418), (29412, 29435), (46308, 46331), (60818, 60844), (71554, 71571)]"
"middlemarch.txt","e0b/e0b-txt/Paris_1959_George Eliot's Unpublished Poetry.txt","2","3","2","1793446","47290","[(306969, 306992), (415829, 415852)]","[(38827, 38851), (46372, 46395)]"
"middlemarch.txt","e0b/e0b-txt/Galvan_2006_The Narrator as Medium in George Eliot's The Lifted Veil.txt","2","3","5","1793446","23711","[(456569, 456585), (458052, 458070), (1073141, 1073162), (1501837, 1501855), (1636441, 1636475)]","[(1292, 1308), (5047, 5065), (10316, 10337), (15303, 15321), (21382, 21416)]"
"middlemarch.txt","e0b/e0b-txt/Adams_Winkler_1963_An Inter-Departmental Course on Victorian England.txt","2","3","2","1793446","10722","[(214611, 214634), (1278279, 1278303)]","[(2455, 2478), (6254, 6278)]"
"middlemarch.txt","e0b/e0b-txt/Page_2011_Response to Target Essay on Social Minds.txt","2","3","1","1793446","11620","[(321956, 322045)]","[(8149, 8238)]"
"middlemarch.txt","e0b/e0b-txt/Oatley_2011_The reader and the space-in-between.txt","2","3","4","1793446","8493","[(5832, 5894), (8434, 8655), (9248, 9303), (91012, 91030)]","[(2285, 2347), (3609, 3830), (3837, 3892), (6405, 6424)]"
"middlemarch.txt","e0b/e0b-txt/Chamberlain_1968_Unity and Irony in Trollope's Can You Forgive Her.txt","2","3","3","1793446","32582","[(138606, 138628), (1650322, 1650344), (1770952, 1770969)]","[(8643, 8665), (8930, 8952), (24605, 24622)]"
